;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
3418;3419;142.0;2.0;UK;;;6053;33.0;9.0;0;;27000.0;698.0;427.0;29196;7.7;Good
3193;3194;135.0;0.0;UK;10000000.0;3041803.0;6377;181.0;96.0;345;25.0;902.0;576.0;553.0;2735;7.1;Good
2642;2643;120.0;2.0;USA;15000000.0;33771174.0;27044;240.0;78.0;0;18.0;20000.0;1000.0;944.0;22383;6.8;Good
4545;4546;109.0;8.0;USA;900000.0;9000000.0;7584;137.0;101.0;0;199.0;503.0;46.0;44.0;731;6.2;Good
2663;2664;119.0;3.0;UK;15000000.0;23089926.0;166269;735.0;278.0;0;11000.0;19000.0;567.0;400.0;20391;7.7;Good
4079;4080;126.0;0.0;USA;3000000.0;;21316;162.0;91.0;0;393.0;862.0;376.0;281.0;2269;7.8;Good
4194;4195;89.0;3.0;USA;2500000.0;3325638.0;52509;84.0;252.0;13000;14.0;902.0;291.0;215.0;1980;7.1;Good
859;860;104.0;3.0;USA;55000000.0;58422650.0;78974;173.0;49.0;8000;0.0;13000.0;11000.0;812.0;25599;6.4;Good
2612;2613;141.0;2.0;USA;100000000.0;;62;1.0;1.0;0;335.0;11000.0;744.0;635.0;13390;6.1;Good
4042;4043;101.0;0.0;Colombia;3000000.0;6517198.0;30474;172.0;155.0;0;13.0;280.0;11.0;6.0;308;7.5;Good
4019;4020;92.0;2.0;USA;3500000.0;;1928;10.0;7.0;482;14.0;2000.0;660.0;597.0;3854;5.4;Fair
3661;3662;112.0;0.0;UK;3500159.0;32541719.0;89806;438.0;161.0;0;98.0;883.0;528.0;397.0;2201;6.7;Good
4433;4434;95.0;0.0;Canada;1500000.0;3478.0;22212;142.0;178.0;0;49.0;413.0;98.0;57.0;721;6.7;Good
357;358;94.0;0.0;USA;90000000.0;196573705.0;166791;132.0;188.0;0;107.0;835.0;256.0;117.0;1258;7.0;Good
4599;4600;89.0;1.0;USA;1000000.0;;397;6.0;3.0;143;32.0;386.0;261.0;256.0;1647;6.3;Good
2143;2144;98.0;2.0;USA;17000000.0;9430988.0;45992;115.0;217.0;7000;0.0;925.0;472.0;374.0;1997;7.1;Good
3995;3996;92.0;0.0;USA;3500000.0;25138292.0;66483;452.0;425.0;43000;22.0;648.0;191.0;159.0;1122;6.8;Good
1250;1251;95.0;1.0;USA;40000000.0;38087756.0;49612;39.0;19.0;0;80.0;3000.0;450.0;287.0;4634;5.2;Fair
2270;2271;117.0;1.0;USA;20000000.0;13987482.0;58957;91.0;151.0;0;20.0;11000.0;904.0;783.0;15713;6.0;Fair
2071;2072;111.0;1.0;France;19430000.0;6109075.0;32003;65.0;165.0;0;105.0;527.0;86.0;64.0;735;6.7;Good
4355;4356;87.0;0.0;France;1800000.0;40990055.0;41509;300.0;311.0;0;13.0;463.0;400.0;308.0;1958;5.6;Fair
1045;1046;137.0;3.0;Czech Republic;50000000.0;1206135.0;40568;185.0;172.0;18000;79.0;27000.0;254.0;194.0;27666;6.4;Good
4993;4994;81.0;7.0;USA;50000.0;;66;2.0;7.0;83;3.0;26.0;20.0;18.0;70;7.4;Good
1756;1757;120.0;12.0;USA;30000000.0;7443007.0;24663;71.0;210.0;0;0.0;579.0;489.0;210.0;1500;6.7;Good
3733;3734;139.0;0.0;USA;5000000.0;;2498;67.0;15.0;376;345.0;535.0;440.0;422.0;2112;6.6;Good
2890;2891;94.0;0.0;USA;13000000.0;51872378.0;88241;266.0;285.0;23000;122.0;873.0;461.0;383.0;2812;6.7;Good
1467;1468;123.0;0.0;UK;35000000.0;34531832.0;44788;138.0;219.0;23000;15.0;10000.0;979.0;745.0;13371;7.1;Good
1981;1982;99.0;3.0;USA;25000000.0;10719367.0;7909;157.0;72.0;261;79.0;16000.0;11000.0;956.0;28987;4.9;Fair
1225;1226;114.0;2.0;USA;;60923325.0;147317;197.0;222.0;12000;89.0;836.0;719.0;177.0;2091;6.4;Good
2911;2912;108.0;5.0;Canada;15000000.0;1039869.0;14757;51.0;117.0;0;60.0;18000.0;322.0;168.0;18739;6.2;Good
1478;1479;98.0;1.0;UK;31000000.0;16831505.0;51842;173.0;129.0;0;12.0;4000.0;4000.0;663.0;9330;6.3;Good
3346;3347;126.0;0.0;USA;8000000.0;1997807.0;5158;140.0;46.0;196;407.0;638.0;107.0;39.0;823;7.1;Good
2149;2150;114.0;2.0;USA;35000000.0;69700000.0;7748;48.0;11.0;0;19.0;1000.0;883.0;842.0;3688;5.8;Fair
1508;1509;93.0;2.0;France;32000000.0;;28848;76.0;58.0;0;18.0;4000.0;820.0;324.0;5377;5.7;Fair
2341;2342;30.0;4.0;UK;;;18;;;0;;310.0;11.0;9.0;344;7.2;Good
2356;2357;97.0;0.0;USA;20000000.0;100292856.0;160418;296.0;286.0;16000;52.0;3000.0;957.0;384.0;5547;5.7;Fair
2439;2440;107.0;0.0;USA;18000000.0;;27629;149.0;120.0;2000;0.0;517.0;376.0;101.0;1067;7.4;Good
2926;2927;110.0;0.0;USA;12000000.0;70011073.0;57996;349.0;216.0;15000;16.0;93.0;17.0;11.0;146;6.5;Good
1989;1990;117.0;1.0;UK;25000000.0;;3334;52.0;21.0;739;71.0;433.0;54.0;42.0;611;4.8;Fair
4361;4362;96.0;4.0;USA;1800000.0;;22764;91.0;62.0;511;88.0;595.0;356.0;196.0;1432;5.5;Fair
1761;1762;110.0;1.0;USA;21000000.0;52353636.0;209133;962.0;220.0;0;0.0;13000.0;1000.0;327.0;14609;7.6;Good
227;228;77.0;0.0;USA;120000000.0;64736114.0;36471;69.0;71.0;459;50.0;886.0;799.0;537.0;2682;5.4;Fair
3396;3397;60.0;0.0;;;;22848;85.0;18.0;18000;;3000.0;788.0;648.0;6034;8.3;Excellent
3900;3901;106.0;1.0;USA;3500000.0;20803237.0;110616;291.0;323.0;16000;450.0;14000.0;3000.0;712.0;18645;7.1;Good
3210;3211;96.0;4.0;USA;5000000.0;1474508.0;33473;88.0;144.0;0;17.0;2000.0;989.0;688.0;4607;6.5;Good
4775;4776;82.0;1.0;USA;500000.0;21199.0;40;10.0;10.0;44;0.0;0.0;0.0;0.0;0;6.8;Good
2176;2177;105.0;0.0;USA;20000000.0;56362352.0;357581;588.0;111.0;16000;13000.0;40000.0;967.0;658.0;42330;7.9;Good
1490;1491;91.0;0.0;Aruba;35000000.0;10076136.0;11512;141.0;67.0;471;85.0;635.0;316.0;105.0;1352;4.8;Fair
2555;2556;91.0;0.0;USA;17700000.0;27087695.0;41664;205.0;78.0;0;29.0;861.0;593.0;459.0;2543;5.9;Fair
340;341;102.0;4.0;USA;95000000.0;17176900.0;54501;154.0;175.0;16000;44.0;12000.0;3000.0;766.0;17098;5.5;Fair
