,Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
0,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,159,3078,1640,119,4,79.0,17.0,100
1,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,154,2812,1503,132,0,66.0,14.0,80
2,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,1119,61027,32048,1386,58,1572.0,147.0,1777
3,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,580,6228,3200,396,19,325.0,49.0,393
4,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,364,15432,9328,379,3,249.0,27.0,279
5,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,305,19728,11056,422,0,325.0,14.0,339
6,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,250,4309,2324,199,3,113.0,26.0,142
7,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,145,3887,2174,165,0,88.0,18.0,106
8,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,133,3779,2072,152,0,90.0,14.0,104
9,139441,Photo,2,12,4,3,0.0,2752,5091,178,109,168,3631,1917,183,5,137.0,10.0,152
10,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,159,3078,1640,119,4,79.0,17.0,100
11,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,154,2812,1503,132,0,66.0,14.0,80
12,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,1119,61027,32048,1386,58,1572.0,147.0,1777
13,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,580,6228,3200,396,19,325.0,49.0,393
14,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,364,15432,9328,379,3,249.0,27.0,279
15,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,305,19728,11056,422,0,325.0,14.0,339
16,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,250,4309,2324,199,3,113.0,26.0,142
17,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,145,3887,2174,165,0,88.0,18.0,106
18,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,133,3779,2072,152,0,90.0,14.0,104
19,139441,Photo,3,12,3,3,0.0,2413,4373,177,113,168,3631,1917,183,5,137.0,10.0,152
20,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,159,3078,1640,119,4,79.0,17.0,100
21,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,154,2812,1503,132,0,66.0,14.0,80
22,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,1119,61027,32048,1386,58,1572.0,147.0,1777
23,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,580,6228,3200,396,19,325.0,49.0,393
24,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,364,15432,9328,379,3,249.0,27.0,279
25,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,305,19728,11056,422,0,325.0,14.0,339
26,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,250,4309,2324,199,3,113.0,26.0,142
27,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,145,3887,2174,165,0,88.0,18.0,106
28,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,133,3779,2072,152,0,90.0,14.0,104
29,139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,168,3631,1917,183,5,137.0,10.0,152
30,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,159,3078,1640,119,4,79.0,17.0,100
31,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,154,2812,1503,132,0,66.0,14.0,80
32,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,1119,61027,32048,1386,58,1572.0,147.0,1777
33,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,580,6228,3200,396,19,325.0,49.0,393
34,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,364,15432,9328,379,3,249.0,27.0,279
35,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,305,19728,11056,422,0,325.0,14.0,339
36,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,250,4309,2324,199,3,113.0,26.0,142
37,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,145,3887,2174,165,0,88.0,18.0,106
38,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,133,3779,2072,152,0,90.0,14.0,104
39,139441,Photo,2,12,2,3,0.0,7244,13594,671,410,168,3631,1917,183,5,137.0,10.0,152
40,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,159,3078,1640,119,4,79.0,17.0,100
41,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,154,2812,1503,132,0,66.0,14.0,80
42,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,1119,61027,32048,1386,58,1572.0,147.0,1777
43,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,580,6228,3200,396,19,325.0,49.0,393
44,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,364,15432,9328,379,3,249.0,27.0,279
45,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,305,19728,11056,422,0,325.0,14.0,339
46,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,250,4309,2324,199,3,113.0,26.0,142
47,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,145,3887,2174,165,0,88.0,18.0,106
48,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,133,3779,2072,152,0,90.0,14.0,104
49,139441,Photo,3,12,1,3,1.0,11692,19479,481,265,168,3631,1917,183,5,137.0,10.0,152
50,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,159,3078,1640,119,4,79.0,17.0,100
51,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,154,2812,1503,132,0,66.0,14.0,80
52,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,1119,61027,32048,1386,58,1572.0,147.0,1777
53,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,580,6228,3200,396,19,325.0,49.0,393
54,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,364,15432,9328,379,3,249.0,27.0,279
55,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,305,19728,11056,422,0,325.0,14.0,339
56,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,250,4309,2324,199,3,113.0,26.0,142
57,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,145,3887,2174,165,0,88.0,18.0,106
58,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,133,3779,2072,152,0,90.0,14.0,104
59,139441,Photo,3,12,7,9,1.0,13720,24137,537,232,168,3631,1917,183,5,137.0,10.0,152
60,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,159,3078,1640,119,4,79.0,17.0,100
61,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,154,2812,1503,132,0,66.0,14.0,80
62,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,1119,61027,32048,1386,58,1572.0,147.0,1777
63,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,580,6228,3200,396,19,325.0,49.0,393
64,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,364,15432,9328,379,3,249.0,27.0,279
65,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,305,19728,11056,422,0,325.0,14.0,339
