Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Post Total Impressions;Lifetime Engaged Users;Lifetime Post Consumers
139441;Photo;2;12;4;3;0;2752;5091;178;109
139441;Status;2;12;3;10;0;10460;19057;1457;1361
139441;Photo;3;12;3;3;0;2413;4373;177;113
139441;Photo;2;12;2;10;1;50128;87991;2211;790
139441;Photo;2;12;2;3;0;7244;13594;671;410
139441;Status;2;12;1;9;0;10472;20849;1191;1073
139441;Photo;3;12;1;3;1;11692;19479;481;265
139441;Photo;3;12;7;9;1;13720;24137;537;232
139441;Status;2;12;7;3;0;11844;22538;1530;1407
139441;Photo;3;12;6;10;0;4694;8668;280;183
139441;Status;2;12;5;10;0;21744;42334;4258;4100
139441;Photo;2;12;5;10;0;3112;5590;208;127
139441;Photo;2;12;5;10;0;2847;5133;193;115
139441;Photo;2;12;5;3;0;2549;4896;249;134
138414;Photo;2;12;4;5;1;22784;39941;887;337
138414;Status;2;12;3;10;0;10060;19680;1264;1209
138414;Photo;3;12;3;3;0;1722;2981;163;123
138414;Photo;1;12;2;12;1;53264;111785;1706;1103
138414;Status;3;12;2;3;0;3930;7509;130;86
138414;Photo;3;12;1;11;0;1591;2825;121;88
138414;Photo;2;12;1;3;0;2848;5066;200;142
138414;Photo;1;12;7;10;0;1384;2467;15;15
138414;Link;1;12;7;10;0;3454;6853;118;104
138414;Photo;3;12;7;3;0;2723;4888;176;118
138414;Status;2;12;6;10;0;8488;15294;1341;1270
138458;Status;2;12;6;3;0;8284;15104;1521;1462
138458;Status;2;12;5;11;0;19552;34143;2806;2531
138458;Photo;3;12;5;3;0;2478;4306;212;124
138895;Photo;2;12;5;3;0;9560;18264;973;559
138895;Video;1;12;4;11;1;36208;61262;1141;1068
138895;Photo;2;12;4;2;0;4940;9390;385;306
138895;Photo;2;12;3;10;0;1683;2929;192;171
138895;Photo;3;12;3;3;0;5280;9578;368;237
138895;Photo;3;12;2;9;0;3002;5318;268;185
138895;Photo;1;12;2;3;0;3766;7149;298;260
138895;Photo;2;12;1;11;0;4512;7808;423;284
138895;Photo;3;12;1;3;0;2690;4628;252;168
138895;Photo;1;12;7;10;1;19800;28663;479;424
138895;Status;2;12;7;9;0;17576;33058;5352;5202
138895;Photo;1;12;7;3;0;3290;6085;306;284
138895;Status;2;12;6;11;0;13280;24198;2055;1912
138895;Link;1;12;6;3;1;18480;28438;517;366
138353;Photo;1;12;5;10;0;7268;13989;2087;2079
138353;Link;1;12;5;3;1;2645;4270;134;109
138353;Photo;1;12;4;11;0;4284;8387;355;316
138353;Link;1;12;4;3;1;7968;13023;206;158
138353;Status;1;12;3;11;0;16576;30612;3572;3464
138353;Link;1;12;3;2;0;1925;3481;97;83
138353;Photo;1;12;2;11;0;3786;7329;338;283
138353;Link;1;12;2;2;0;1536;3094;84;76
138353;Photo;2;11;1;9;0;1728;3155;108;65
138329;Photo;1;11;1;3;1;25248;40125;726;467
138329;Photo;1;11;7;9;0;4894;8899;355;181
138329;Photo;1;11;7;3;0;2935;5439;237;182
