Page total likes;Type;Lifetime Post Consumptions;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime People who have liked your Page and engaged with your post;comment;like;share;Total Interactions
139441;Photo;159;3078;1640;119;4;79;17;100
139441;Status;1674;11710;6112;1108;5;130;29;164
139441;Photo;154;2812;1503;132;0;66;14;80
139441;Photo;1119;61027;32048;1386;58;1572;147;1777
139441;Photo;580;6228;3200;396;19;325;49;393
139441;Status;1389;16034;7852;1016;1;152;33;186
139441;Photo;364;15432;9328;379;3;249;27;279
139441;Photo;305;19728;11056;422;0;325;14;339
139441;Status;1692;15220;7912;1250;0;161;31;192
139441;Photo;250;4309;2324;199;3;113;26;142
139441;Status;4540;37849;18952;3798;0;233;19;252
139441;Photo;145;3887;2174;165;0;88;18;106
139441;Photo;133;3779;2072;152;0;90;14;104
139441;Photo;168;3631;1917;183;5;137;10;152
138414;Photo;417;34415;19312;684;2;577;20;599
138414;Status;1425;17272;8548;1162;4;86;18;108
138414;Photo;148;1868;1050;123;2;40;12;54
138414;Photo;1655;92512;39776;1307;15;678;20;713
138414;Status;112;5009;2410;101;4;54;17;75
138414;Photo;111;2116;1161;100;0;34;8;42
138414;Photo;184;3561;1963;157;3;66;12;81
138414;Photo;20;2196;1172;15;0;0;0;0
138414;Link;130;6282;3100;106;0;16;2;18
138414;Photo;143;2964;1621;143;0;72;24;96
138414;Status;1489;9684;5244;995;3;99;19;121
138458;Status;1711;10266;5372;1200;0;88;18;106
138458;Status;3420;17748;9824;1779;10;412;72;494
138458;Photo;149;2612;1443;166;0;100;17;117
138895;Photo;885;9217;4748;621;36;523;63;622
138895;Video;1728;30131;14112;559;18;143;13;174
138895;Photo;501;5860;2930;273;33;107;22;162
138895;Photo;221;1585;858;131;1;27;11;39
138895;Photo;345;4480;2422;268;2;155;47;204
138895;Photo;247;3039;1676;194;4;98;23;125
138895;Photo;431;5782;2938;244;2;56;17;75
138895;Photo;431;5183;2954;316;6;172;21;199
138895;Photo;226;3052;1727;199;0;96;17;113
138895;Photo;805;5187;2752;248;16;76;8;100
138895;Status;6547;23135;11792;4104;11;227;31;269
138895;Photo;402;4986;2584;247;1;44;14;59
138895;Status;2720;17627;9344;1716;7;216;39;262
138895;Link;460;12078;6752;319;6;187;18;211
138353;Photo;12074;13544;7096;1975;7;26;3;36
138353;Link;170;2330;1377;101;7;29;10;46
138353;Photo;513;7283;3634;291;0;47;11;58
138353;Link;223;6734;3492;138;4;57;10;71
138353;Status;4802;24363;12888;3014;4;174;36;214
138353;Link;126;2307;1180;77;6;18;8;32
138353;Photo;450;6336;3216;280;0;77;15;92
138353;Link;99;2903;1407;76;1;12;1;14
138353;Photo;95;2313;1232;77;1;48;9;58
138329;Photo;863;16132;8608;451;24;285;28;337
138329;Photo;264;4914;2712;246;9;202;31;242
138329;Photo;401;3901;2044;201;4;64;19;87
138329;Photo;433;3017;1510;175;4;66;13;83
138329;Video;539;21436;9568;363;2;65;14;81
138329;Photo;301;4976;2764;240;2;164;54;220
138329;Photo;167;3675;1901;134;0;40;13;53
138329;Photo;327;3188;1557;168;3;76;11;90
138329;Photo;487;35637;9712;263;4;139;17;160
138185;Photo;591;15066;5100;319;8;101;14;123
138185;Photo;952;54653;12704;346;8;144;10;162
138185;Photo;1268;14091;7456;408;10;179;13;202
138185;Photo;540;26869;7760;315;4;219;22;245
138185;Photo;258;4101;1761;181;2;60;7;69
138185;Photo;641;4530;2388;280;19;77;23;119
138185;Photo;219;3302;1640;161;0;48;7;55
138185;Photo;1469;32646;14912;884;20;697;70;787
138185;Photo;202;2873;1539;171;0;53;17;70
137893;Photo;512;3537;1780;275;7;84;28;119
137893;Photo;695;39304;11392;336;7;146;9;162
137893;Video;2331;59658;18880;885;17;449;84;550
137893;Status;1153;9562;5180;740;3;226;44;273
137893;Photo;717;13737;4320;438;14;172;47;233
137893;Video;667;26622;11760;447;2;99;13;114
137893;Photo;1341;22100;10880;724;20;411;74;505
137893;Photo;19;2392;1228;17;0;0;0;0
137177;Photo;542;12716;4968;262;4;85;8;97
137177;Photo;211;1924;1005;154;0;56;8;64
137177;Photo;2085;6838;3224;598;2;29;7;38
137177;Status;2828;15418;7344;2099;2;86;13;101
137177;Photo;512;5057;2628;428;18;370;53;441
137177;Photo;431;3691;1722;305;5;190;57;252
137177;Photo;379;3668;1848;236;2;101;19;122
137177;Status;141;7549;3336;156;2;99;16;117
137177;Photo;469;3834;1806;266;10;140;8;158
137177;Link;329;13858;5248;185;2;130;31;163
137177;Photo;477;4625;2218;403;3;270;38;311
137177;Photo;1359;1210;690;143;3;30;6;39
137059;Photo;483;4509;2078;287;2;107;17;126
137059;Photo;850;14475;8120;504;13;331;77;421
137059;Photo;329;3189;1495;221;0;78;13;91
137059;Photo;518;6201;3136;445;9;301;32;342
137059;Photo;289;2570;1389;233;2;111;16;129
137059;Photo;299;3047;1605;244;2;124;22;148
137059;Photo;360;3521;1796;293;5;153;27;185
137059;Photo;2418;1284;704;220;3;51;11;65
137059;Photo;303;3128;1622;240;1;115;26;142
137020;Status;2576;15850;7636;1661;7;310;61;378
137020;Photo;881;13272;7800;575;12;328;90;430
137020;Photo;55;2154;1120;32;0;0;0;0
137020;Photo;1952;35707;19840;1354;26;1505;95;1626
137020;Photo;339;2226;1118;205;2;63;14;79
137020;Photo;931;2161;1214;172;0;13;4;17
137020;Photo;482;4485;2101;265;4;59;9;72
137020;Photo;4782;43671;20608;1542;42;955;139;1136
137020;Photo;487;3832;1890;328;9;181;32;222
136736;Status;1512;16018;7616;981;17;193;28;238
136736;Photo;325;3120;1684;248;7;125;16;148
136736;Status;3395;20198;10432;2252;4;217;50;271
136736;Photo;1619;2598;1469;268;2;28;4;34
136736;Photo;49;1911;1077;33;0;;;0
136736;Photo;323;2888;1560;236;4;117;18;139
136642;Photo;430;3227;1702;306;2;79;16;97
136642;Photo;414;2551;1454;327;0;15;2;17
136642;Photo;387;1402;695;280;0;4;2;6
136642;Photo;2286;56149;31648;1724;1;431;26;458
136642;Photo;331;1284;650;262;0;7;0;7
136642;Photo;510;1390;704;351;0;7;2;9
136393;Photo;318;1401;660;222;0;6;2;8
136393;Photo;308;943;511;232;0;2;;2
136393;Status;3289;23584;11912;2361;6;186;40;232
136393;Photo;292;951;516;217;1;1;2;4
136393;Photo;265;935;521;191;1;3;2;6
136393;Photo;297;1210;615;211;0;7;;7
136393;Photo;264;1098;580;196;0;7;2;9
136393;Photo;495;3180;1674;385;3;198;41;242
136393;Photo;287;1252;632;194;0;9;1;10
136393;Photo;224;989;554;166;0;4;1;5
136393;Photo;252;1430;690;175;0;3;0;3
136393;Photo;247;1503;782;176;0;8;2;10
136393;Photo;2632;7736;3768;774;0;7;3;10
136393;Photo;239;1041;576;169;1;7;2;10
136393;Photo;249;1249;588;182;0;11;1;12
136393;Photo;239;1351;717;180;2;28;4;34
136393;Photo;644;6951;3290;377;0;56;12;68
136393;Link;251;7196;3324;173;0;32;16;48
136013;Photo;249;2195;934;184;4;32;3;39
136013;Status;1932;13838;7020;1292;0;129;25;154
136013;Photo;616;6677;2992;351;4;77;19;100
136013;Link;1345;17842;8032;635;15;143;44;202
136013;Status;3179;20547;10280;2278;2;227;36;265
136013;Status;9237;35977;18048;4376;60;859;90;1009
136013;Photo;720;11860;6200;590;10;377;60;447
136013;Photo;8308;46252;15552;1275;3;41;9;53
136013;Photo;861;8627;4054;448;6;76;14;96
136013;Photo;463;4401;2616;327;0;189;15;204
135713;Photo;325;3020;1723;253;0;80;14;94
135713;Status;2201;17502;8964;1834;3;148;28;179
135713;Link;118;4263;2138;93;0;24;11;35
135713;Photo;3932;70249;21328;1609;24;302;41;367
135713;Photo;534;4406;2362;354;2;166;32;200
135713;Photo;957;7682;4024;563;47;358;49;454
135713;Photo;1390;16890;7208;630;7;161;25;193
135713;Photo;867;5696;3162;537;13;319;55;387
135700;Photo;424;1794;953;237;0;54;16;70
135700;Photo;613;4935;2556;365;16;117;30;163
135700;Photo;445;3273;1722;309;1;115;21;137
135700;Photo;757;6200;3298;489;30;187;35;252
135617;Photo;412;2970;1507;277;1;84;13;98
135617;Photo;652;11148;7020;604;6;363;40;409
135617;Photo;688;4428;2420;435;6;244;32;282
135617;Photo;951;5503;3260;530;22;290;98;410
135617;Status;2106;16095;8120;1604;4;243;41;288
135428;Photo;337;1705;870;204;0;18;;18
135428;Photo;513;3501;1999;351;0;113;19;132
135428;Photo;672;26832;9064;389;2;77;5;84
135428;Photo;719;13674;7624;704;8;485;64;557
135428;Photo;4074;34802;20928;2126;144;1622;208;1974
135428;Photo;547;3031;1674;333;6;99;16;121
135195;Photo;599;5014;2704;416;3;188;26;217
135195;Photo;463;2373;1228;267;2;30;6;38
135195;Status;5906;35455;17592;4318;38;163;27;228
135195;Photo;629;4208;2412;382;6;179;40;225
135195;Photo;669;4799;2616;431;5;204;34;243
135195;Status;2969;19599;10232;2342;2;165;22;189
135195;Photo;1618;22864;13304;1349;29;1047;98;1174
135195;Photo;678;6866;4016;495;2;234;40;276
135195;Photo;729;4215;2254;439;7;250;42;299
135195;Photo;597;3857;2124;404;4;154;36;194
134879;Status;1797;13887;7092;1331;20;150;29;199
134879;Photo;836;19409;6632;404;4;102;8;114
134879;Photo;622;4578;2432;436;1;226;44;271
134879;Video;3253;32033;15744;1376;6;345;121;472
134879;Photo;476;3332;1788;297;11;68;11;90
134879;Photo;458;3247;1740;278;0;62;10;72
134879;Photo;602;4046;2280;368;5;223;35;263
134879;Photo;352;2293;1354;234;0;61;6;67
134879;Photo;392;3112;1791;288;1;104;12;117
133679;Photo;609;3927;2274;367;3;146;15;164
133679;Photo;486;2757;1603;300;2;102;15;119
133679;Photo;990;24034;13528;1020;9;766;43;818
133679;Photo;402;3121;1882;269;0;63;7;70
133594;Photo;599;5010;3082;384;3;113;17;133
133594;Photo;1977;54860;22816;1278;6;442;42;490
133594;Photo;772;5123;3244;470;9;278;43;330
