;User_ID;Product_ID;Gender;Age;Occupation;City_Category;Stay_In_Current_City_Years;Marital_Status;Product_Category_1;Product_Category_2;Purchase
0;1000001;P00069042;F;0-17;10;A;2;0;3;9,627841;8370
1;1000001;P00248942;F;0-17;10;A;2;0;1;6,000000;15200
2;1000001;P00087842;F;0-17;10;A;2;0;12;9,627841;1422
3;1000001;P00085442;F;0-17;10;A;2;0;12;14,000000;1057
4;1000002;P00285442;M;55+;16;C;4+;0;8;9,627841;7969
5;1000003;P00193542;M;26-35;15;A;3;0;1;2,000000;15227
6;1000004;P00184942;M;46-50;7;B;2;1;1;8,000000;19215
7;1000004;P00346142;M;46-50;7;B;2;1;1;15,000000;15854
8;1000004;P0097242;M;46-50;7;B;2;1;1;16,000000;15686
9;1000005;P00274942;M;26-35;20;A;1;1;8;9,627841;7871
10;1000005;P00251242;M;26-35;20;A;1;1;5;11,000000;5254
11;1000005;P00014542;M;26-35;20;A;1;1;8;9,627841;3957
12;1000005;P00031342;M;26-35;20;A;1;1;8;9,627841;6073
13;1000005;P00145042;M;26-35;20;A;1;1;1;2,000000;15665
14;1000006;P00231342;F;51-55;9;A;1;0;5;8,000000;5378
15;1000006;P00190242;F;51-55;9;A;1;0;4;5,000000;2079
16;1000006;P0096642;F;51-55;9;A;1;0;2;3,000000;13055
17;1000006;P00058442;F;51-55;9;A;1;0;5;14,000000;8851
18;1000007;P00036842;M;36-45;1;B;1;1;1;14,000000;11788
19;1000008;P00249542;M;26-35;12;C;4+;1;1;5,000000;19614
20;1000008;P00220442;M;26-35;12;C;4+;1;5;14,000000;8584
21;1000008;P00156442;M;26-35;12;C;4+;1;8;9,627841;9872
22;1000008;P00213742;M;26-35;12;C;4+;1;8;9,627841;9743
23;1000008;P00214442;M;26-35;12;C;4+;1;8;9,627841;5982
24;1000008;P00303442;M;26-35;12;C;4+;1;1;8,000000;11927
25;1000009;P00135742;M;26-35;17;C;0;0;6;8,000000;16662
26;1000009;P00039942;M;26-35;17;C;0;0;8;9,627841;5887
27;1000009;P00161442;M;26-35;17;C;0;0;5;14,000000;6973
28;1000009;P00078742;M;26-35;17;C;0;0;5;8,000000;5391
29;1000010;P00085942;F;36-45;1;B;4+;1;2;4,000000;16352
30;1000010;P00118742;F;36-45;1;B;4+;1;5;11,000000;8886
31;1000010;P00297942;F;36-45;1;B;4+;1;8;9,627841;5875
32;1000010;P00266842;F;36-45;1;B;4+;1;5;9,627841;8854
33;1000010;P00058342;F;36-45;1;B;4+;1;3;4,000000;10946
34;1000010;P00032442;F;36-45;1;B;4+;1;5;9,627841;5152
35;1000010;P00105942;F;36-45;1;B;4+;1;5;9,627841;7089
36;1000010;P00182642;F;36-45;1;B;4+;1;2;4,000000;12909
37;1000010;P00186942;F;36-45;1;B;4+;1;5;12,000000;8770
38;1000010;P00155442;F;36-45;1;B;4+;1;1;11,000000;15212
39;1000010;P00221342;F;36-45;1;B;4+;1;1;2,000000;15705
40;1000010;P00087242;F;36-45;1;B;4+;1;14;9,627841;7947
41;1000010;P00111142;F;36-45;1;B;4+;1;1;15,000000;18963
42;1000010;P00259342;F;36-45;1;B;4+;1;5;9,000000;8718
43;1000010;P0094542;F;36-45;1;B;4+;1;2;4,000000;16406
44;1000010;P00148642;F;36-45;1;B;4+;1;6;10,000000;12642
45;1000010;P00312142;F;36-45;1;B;4+;1;8;9,627841;10007
